publishedAt,authorDisplayName,textDisplay,likeCount
2020-07-01T10:07:34Z,Mama Kasminah,Trims,0
2020-02-04T07:32:20Z,Eva R. Dewi,cara nyimpan gamenya gimanaaa??????,0
2021-07-29T06:03:26Z,Darrent Alvinno Li,Save world,0
2016-04-18T04:33:16Z,Raissa Aqila Nalani,bagus,0
2020-06-16T14:46:53Z,Jendela HR,"Subscribe balik ya boss, thanks",0
2020-10-14T05:33:47Z,Neli Ramadhani,Itu musinya apa namanya,0
2018-10-04T08:13:25Z,Fauzia Rizkiana Aji,Ijin share ya.. terima kasih..,0
2020-05-14T06:53:48Z,Setianingsih Supardi,Nambah ilmu.terimakasih.barakallah,0
2020-05-07T06:52:05Z,nur aziza,Keren ilmunya makasih Sudan menambah imu...,0
2020-04-27T12:13:39Z,Satriani Haby,MANTAP ILMUNYA SANGAT BERMANPAAT BAGI SY .THANKS,0
2020-04-27T02:05:33Z,Perjuangan dan Cinta 2,thanks,0
2021-04-08T04:14:14Z,eliza jocelin,Kalo yang tanpa mendeley gimana yah caranya???? Pilihan di type of sourcenya yang mana yah? Mohon di bantu... terimakasih...,0
2021-04-20T13:27:18Z,Mendang Mending,binggung sendiri<br>PIVOT POWER<br>PIVOT TABEL<br>GRAFIK,0
2020-05-30T07:19:52Z,IIS Dw,Apa bisa buat aplikasi database?,0
2020-09-21T07:34:14Z,Cipeng Yuna,"Bang minta saran dong kok ms word aku gabisa pdhl udh masukin akun tp tetep gabisa, minta saran dong apa aku yang gaptek yaa",0
2020-09-10T02:33:00Z,muhamad. azriel yusalfatih,Bang kalo template nya di ambil dari Google bisa ga,0
2020-02-05T16:36:35Z,Akbar Ramadhan,Berguna bgt buat org yg laptopnya gk support buat download Ps sama corel,1
2022-05-18T09:52:02Z,adi putra,A0,0
2020-02-05T08:45:57Z,usrah jannah,senangnya,0
2020-02-03T09:55:12Z,Inna 0306,Kak pake data gak buat searching? Karna word aku gak bisa searching,0
2019-08-08T02:38:22Z,Rianti Maulani,Gak guna,1
2020-08-16T04:48:55Z,Refa Dwi Ananta,"Kalo ngerasa nih video gak guna, trus ngapain lu tonton bambankk, hargailah karya seseorang😒",1
2019-01-22T12:44:33Z,Ahmad ridlaka,Gimana kalau gambar posternya makanan khas gimana coba contohin dong pliss👍👍👍,2
2019-01-22T12:45:11Z,Ahmad ridlaka,Bisa gk makanan khas,1
2019-01-31T04:11:20Z,MariBelajar,"bisa, nanti digambar yang udah ada di dokumen, klik kanan terus pilih change picture. masukkan gambar makanan yg diinginkan",0
2018-11-24T06:11:11Z,Saviros 23,Terus cara cetaknya di print atau apa bro?,1
2018-11-26T02:17:15Z,MariBelajar,langsung dicetak dari pdf nya,0
2018-08-27T11:04:25Z,Yahya Ar,Tutorial yg bermanfaat,1
2021-03-11T03:45:13Z,FAIZAH BINTI ISHAK KPM-Guru,TRIMA KSIH SAHABAT,0
2021-01-18T06:04:03Z,Quotes.Hearts,Kak di playstore instal nya yang mana,0
2021-02-01T08:59:05Z,MariBelajar,untuk di playstore belum support kak,0
2020-10-27T03:08:07Z,Vivit Resniawati,Publihsher 2012,1
2020-08-09T14:01:57Z,R,Willows has a great experience with a good idea and I think that is a great thing,2
2020-01-13T22:26:32Z,Aliodaz,"Yah, Publisher saya masih tahun 2007:(",1
2019-01-20T12:08:27Z,Salsabila Putri Ramadhani,Microsoft Publisher yang tahun berapa?,1
2019-01-31T04:10:10Z,MariBelajar,Publisher 2013 ke atas kakak,0
2021-02-06T06:17:39Z,Suriada Nyoman,"sangat membantu sekali, saya guru fisika SMAN 1 Melaya Jembrana-Bali, baru belajar membuat onenote trims......semoga sehat selalu Bu Rima mohon terus berbagi....",0
2019-09-27T11:18:55Z,anung nunung,kalau beli lisensi offline dimana,0
2017-10-13T22:57:52Z,haris nugroho,ijin reupload boleh min?,0
2017-11-03T03:04:38Z,MariBelajar,"monggo Mas Haris, boleh sekali :)",0
2020-09-05T09:04:08Z,MDSTWN,Bang aplikasi untuk buat kolase seperti itu diandroid apa ya?,0
2020-06-11T07:00:29Z,BANG 4D1,"Halo, setelah kita memverifikasi dan pindah ke a1, apakah Bapak/Ibu/siswa  bisa mengklaim kredit dari azure sebagai pengajar/siswa?",0
2020-06-05T20:21:41Z,Rowland David,Selamat pagi bu....tapi aplikasi ini khan berbayar setiap bulannya dan menjalankannya hrs secara online. <br>Pertanyaan saya apakah aplikasi ini bisa dijalankan secara offline dan gratis permanen <br>Terima kasih atas infonya bu..,0
2020-05-29T14:21:28Z,SEKAWAN Centre,yg mempelajari ini saat darurat covid-19 mana jempolnyaaaaa???,0
2019-05-18T04:08:30Z,Sahabat Pembelajar,Yang saya punya masih A5 hanya 25 user. Bagaimana cara mengubah ke A1 agar free untuk semua user?,0
2019-05-28T03:42:04Z,MariBelajar,"Hi Sahabar Pembelajar, bisa mengikuti panduan yang ada di sini: <a href=""https://medium.com/visiblelearningdesigns/how-to-get-microsoft-office-365-for-your-school-for-free-part-3-of-3-7568378f1c80"">https://medium.com/visiblelearningdesigns/how-to-get-microsoft-office-365-for-your-school-for-free-part-3-of-3-7568378f1c80</a>",0
2018-08-28T14:08:46Z,NUR IRFANI,Terimakasih sangat bemanfaat... Tutorial aetting dns dong... Gagalnya di situ terus...,0
2019-05-28T03:45:19Z,MariBelajar,"Hi Pika Movie, bisa mengikuti panduan yang ada di sini: <a href=""http://maribelajar.org/webinar/7-langkah-memulai-menerapkan-office-365-for-education-di-sekolah/"">http://maribelajar.org/webinar/7-langkah-memulai-menerapkan-office-365-for-education-di-sekolah/</a>",0
2021-05-26T04:30:06Z,#WahyuDanAnggi Channel,terlalu cepat bos.. kalau bisa ada suara tutorial nya karena kalau baca text terlalu cepat,0
2020-08-31T15:23:29Z,Annisa Dwi Wijayanti,"Heloo KK, saya ingin bertanya, saya sudah membuat Approvel dari MS form dan sudah berhasil tetapi, saya mempunyai masalah,saya sendri yang membuat sistem Approvel di ms flow, yang saya terima di email, dikirim mengguankan email yang sama dengan email saya saat membuat MS Form, pertanyaan saya bagaimana cara mengganti email pengirim sesuai dengan email submiter ketika submit ms form? terimakasih",0
2023-08-08T07:52:44Z,Ubaidillah Muhammad,"keren bpk ,,, bisa share file nya untuk praktik",0
2021-03-09T10:08:15Z,Brury Tangkere,"Pak, bisa gak buat lantihan nya, dikasih sample excel data nya dan cara membangung visualisanya.",0
2021-03-08T14:04:43Z,Vika Laeli Rismawati,kak MariBelajar ada nama instagramnya ga ya?,0
2021-02-24T07:47:39Z,Banu Rusman,"Hallo Mas, saya bingung untuk price power BI..itu per user dan per bulana kan yah<br><br>Kalo kasusnya mau dipasang di sebuah perusahaan dimana yg siapin data 2 orang atau bisa dari database sendiri lalu dashboard bisa dilihat banyak user atau public, itu belinya 1 user ajah atau masing2 user yg mau lihat dashboard beli juga?<br><br>Makasih",0
2020-12-16T14:30:02Z,Nathaniel CH Piano,"bang, kalo ada  kolom excel  , data sales vs target jadi persentase, bgmn buat grafik %  nya di power bi ?",0
2020-11-03T15:33:17Z,ida Safriani,"Terima kasih pencerahannya, sukses selalu mas.",0
2020-10-26T15:56:29Z,Harry Akbar,"simpel, jelas.. makasih",0
2020-08-20T10:29:33Z,Kartika Ayu,Mohon infonya apakah bisa blajar online via zoom atau gmeet?,0
2020-07-24T08:52:47Z,Ajeng Widyaningrum,"Ya elah udah nungguin lama, ternyata gak d ajarin cara bikin tampilan itu zzzzz",0
2020-07-07T07:51:49Z,Maulida NAM,databasenya bisa dari google spreadsheet tidak yaah?,0
2020-06-20T15:51:08Z,FERZDTH,bang apakah wilayah nya bisa per kabupaten/kota???,0
2020-06-09T06:20:12Z,Avinnaash Suresh,"Good explanation, thanks!",0
