publishedAt,authorDisplayName,textDisplay,likeCount
2021-09-27T17:49:28Z,Mamet's Strike,Salam sukses selalu semoga bsa bermanffat buat yg lain jg pak,0
2020-10-23T00:33:33Z,Mien Aminah1963,"Terima kasih, sangat membantu dan bermanfaat",0
2020-09-26T13:45:28Z,G1_20_650__Yayan Komalawati_Jawa Barat,sayang...blm selese dah keburu berhenti...jd penasaran...ujungnya gimana nih tampilannya?,0
2020-08-31T13:00:45Z,Risa Nur Cahyani,Ini keren banget..trims ilmunya 👍,0
2020-08-22T23:55:37Z,Umi Khumaidah,siip,1
2020-08-23T12:16:45Z,MariBelajar,Terima kasih Bu,0
2020-08-01T00:58:31Z,Sri Handayati,Mantap. makasih materinya,0
2020-07-26T02:47:39Z,Gita Priana,mantab bu,0
2020-07-26T15:15:37Z,MariBelajar,Terima kasih Bu 🙏,0
2020-07-25T14:17:39Z,MRIH WENINGSIH,"Trims ilmunya,smga sukses n sehat selalu",1
2020-07-10T15:04:29Z,Suhadi Arkan,kok diakhir seperti terputus ya,0
2020-07-07T14:16:19Z,shiny potato,"ilmu baru nih, appreciate it! good",0
2020-09-10T21:50:32Z,Vita Pelu,Sangat membantu dan pembelajaran jd menyenangkan,0
2020-06-24T03:32:27Z,satoridoang,bermanfaat...,0
2020-06-05T18:40:34Z,Anis Mardi Astuti,Tutorial yang saya cari ini..terimakasih bunda sangat bermanfaat...,0
2020-06-05T17:24:04Z,Teti Rosmawati,Terimakasih tutorialnya 🙏,0
2020-05-13T13:48:44Z,Rolla Fardila,"Siap belajar bu, terima kasih. Udah mampir ke channel rolla 😊",0
