,Steming,Text_Inggris
0,selamat,Happy
1,kakak maribelajar uang saku,"Brother, let's learn pocket money"
2,tolong tag kakak,please tag brother
3,kakmaaf kakak,I'm sorry brother
4,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih,"Good evening, bro, sorry for disturbing you, open the link, real letter format, student's absolute responsibility, content, hard to delete, ready, please link date, thank you"
5,juta bulan,million a month
6,scraping bahasa python,Python language scraping
7,kakak ayo ikut giat,"Brother, let's join in"
8,takut narsumnya,afraid of his narsum
9,mantaaap kakak lupa hadirr,"great, bro, forgot to be there"
10,main menkrep,playing crepe
11,paket kursus cepat,fast course package
12,hi kakak latih batchnya,"hi bro, practice the batch"
13,lembaga daftar perintah,command list agency
14,sertifikat daftar bnsp,bnsp registration certificate
15,halo kakak usaha daftar lembaga latih kerja teknologi informasi komunikasi swasta indonesia,"hello business brothers, register for Indonesian private information and communication technology job training institutions"
16,power bi pakai teliti kualitatif wawancara susun makna dll ukur puas tamu kualitatif,"power bi uses thorough qualitative interviews to construct meaning, etc. to measure guest satisfaction qualitatively"
17,coba daftar koq adacemail masuk iya,Try registering and there's an email coming in. Yes
18,kakak analisis kualitatif power bi text analysts ukur feedback tamu sentiment analysis power bi contoh ukur feedback positif negatif ajar ayo daftar ikut webinar analisis data power bi tunggu hadir kakak,"Brother qualitative analysis Power BI text analysts measure guest feedback sentiment analysis Power BI examples of measuring positive negative feedback teach Come on, register for the Power Bi data analysis webinar, wait to attend Brother"
19,hi kakak mohon maaf tidak nyaman masuk kotak masuk email tim kirim via whatsapp mohon periksa kakak terima kasih,"Hi bro, sorry it's not convenient to enter the team's email inbox, send via WhatsApp, please check, thank you"
20,masuk wa bayar,come in and pay
21,bagus wa intens website webiste wa,nice wa intense wa website
22,hi kakak tunggu unggah turn on notifications lewat,"hi bro, wait for the upload, turn on notifications will pass"
23,habis kuota,quota exhausted
24,uang saku min,pocket money min
25,izin min jadwal ajar,"permission, min, teaching schedule"
26,offering mitra tanggal kakak,offering partner date sister
27,umum yad status pendaftatanku ubah masihsudah daftar,"In general, my registration status has changed, I'm still registered"
28,ayo bismillah maribelajar proses pendaftarankuubiar terima disiniii,"Come on, Bismillah, let's learn the registration process, I'll accept it here"
29,kelompok ajar kakak,sister's teaching group
30,uang bantu uang saku kakak,money helps brother's pocket money
31,lolos kakak,get away bro
32,lolos kakak,get away bro
33,lolos kakak,get away bro
34,ambil kakak,take it brother
35,microsoft platform developer,Microsoft Platform Developer
36,umum mana kakak,where's the general bro?
37,gmail cek web kampus merdeka kakak,"Gmail, check the Independent Campus website, brother"
38,samaa kakak,Same brother
39,info info kelompok wa,wa group info info
40,beluum kakak,not yet bro
41,adminnya informasi sampein waemail kelompok officialnya,The admin sends the information via email to the official group
42,lolos msib ambil tawar mari ajar microsoft,pass msib take the bargain let's teach microsoft
43,kakak kelompok wa coba cek,"WA group brothers, try checking"
44,lolos kakak,get away bro
45,wahh keren banget kakak,"wow, that's really cool, bro"
46,mantab,great
47,izin share kakak,permission to share bro
48,sila kakak,please bro
49,kereeen,cool
50,selamat maribelajar bangga mentee maribelajar batch,congratulations maribelajar proud mentee maribelajar batch
51,terima kasih kakak ajar tumbuh,"Thank you, brother, teach me how to grow"
52,terima kasih kakak,Thank you brother
53,mbak ningggg,sis ningggg
54,min offline,min offline
55,what language is it,what language is it
56,indonesian,Indonesian
57,cek pesan,check messages
58,done kakak,done bro
59,cek pesan min,check my message
60,cek pesan,check messages
61,cek pesan kakak mohon,"Check your message, bro, please"
62,umum lolos studi independen min,general pass independent study min
63,hi dear umum terima platform kampus merdeka tanggal februari mohon cek akun kala,"Hi dear, general to receive the Independent Campus platform on February, please check your account"
64,done kakak,done bro
65,kakak,Older brother
66,done kakak,done bro
67,terimakasih kakak admin informasi,"Thank you, admin, for the information"
68,kakak izin terima terang platform proses ubah,"Brother, please accept the platform for the change process"
69,maaf kakak cek pesan,"Sorry bro, check the message"
70,min mohon cek pesan terimakasih,"Min, please check the message, thank you"
71,min mohon cek pesan terimakasih,"Min, please check the message, thank you"
72,lolos program sib masuk kelompok,passed the sib program and entered the group
73,halo kakak grup,hello group brothers
74,lolos,get away
75,cek pesan kakak,check your message bro
76,lolos informasi email,pass email information
77,cek pesan min,check my message
78,lolos komunikasi microsoft teams kelompok watele,pass microsoft teams communications watele group
79,titip kakak,leave it to your sister
80,kka lolos,you got away
81,kakak lolos,Brother escaped
82,lolos kakak,get away bro
83,lolos kakak,get away bro
84,cek pesan kakak,check your message bro
85,lolos kakak,get away bro
