,Steming,Label
0,selamat,Positif
1,kakak maribelajar uang saku,Netral
2,tolong tag kakak,Positif
3,kakmaaf kakak,Negatif
4,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih,Positif
5,juta bulan,Netral
6,scraping bahasa python,Netral
7,kakak ayo ikut giat,Positif
8,takut narsumnya,Netral
9,mantaaap kakak lupa hadirr,Positif
10,main menkrep,Positif
11,paket kursus cepat,Netral
12,hi kakak latih batchnya,Netral
13,lembaga daftar perintah,Netral
14,sertifikat daftar bnsp,Netral
15,halo kakak usaha daftar lembaga latih kerja teknologi informasi komunikasi swasta indonesia,Netral
16,power bi pakai teliti kualitatif wawancara susun makna dll ukur puas tamu kualitatif,Positif
17,coba daftar koq adacemail masuk iya,Positif
18,kakak analisis kualitatif power bi text analysts ukur feedback tamu sentiment analysis power bi contoh ukur feedback positif negatif ajar ayo daftar ikut webinar analisis data power bi tunggu hadir kakak,Netral
19,hi kakak mohon maaf tidak nyaman masuk kotak masuk email tim kirim via whatsapp mohon periksa kakak terima kasih,Positif
20,masuk wa bayar,Negatif
21,bagus wa intens website webiste wa,Positif
22,hi kakak tunggu unggah turn on notifications lewat,Netral
23,habis kuota,Negatif
24,uang saku min,Netral
25,izin min jadwal ajar,Netral
26,offering mitra tanggal kakak,Netral
27,umum yad status pendaftatanku ubah masihsudah daftar,Netral
28,ayo bismillah maribelajar proses pendaftarankuubiar terima disiniii,Positif
29,kelompok ajar kakak,Netral
30,uang bantu uang saku kakak,Positif
31,lolos kakak,Netral
32,lolos kakak,Netral
33,lolos kakak,Netral
34,ambil kakak,Netral
35,microsoft platform developer,Netral
36,umum mana kakak,Netral
37,gmail cek web kampus merdeka kakak,Netral
38,samaa kakak,Netral
39,info info kelompok wa,Netral
40,beluum kakak,Netral
41,adminnya informasi sampein waemail kelompok officialnya,Netral
42,lolos msib ambil tawar mari ajar microsoft,Positif
43,kakak kelompok wa coba cek,Netral
44,lolos kakak,Netral
45,wahh keren banget kakak,Positif
46,mantab,Positif
47,izin share kakak,Positif
48,sila kakak,Positif
49,kereeen,Positif
50,selamat maribelajar bangga mentee maribelajar batch,Positif
51,terima kasih kakak ajar tumbuh,Positif
52,terima kasih kakak,Positif
53,mbak ningggg,Netral
54,min offline,Negatif
55,what language is it,Netral
56,indonesian,Netral
57,cek pesan,Netral
58,done kakak,Netral
59,cek pesan min,Netral
60,cek pesan,Netral
61,cek pesan kakak mohon,Positif
62,umum lolos studi independen min,Netral
63,hi dear umum terima platform kampus merdeka tanggal februari mohon cek akun kala,Positif
64,done kakak,Netral
65,kakak,Netral
66,done kakak,Netral
67,terimakasih kakak admin informasi,Positif
68,kakak izin terima terang platform proses ubah,Positif
69,maaf kakak cek pesan,Negatif
70,min mohon cek pesan terimakasih,Positif
71,min mohon cek pesan terimakasih,Positif
72,lolos program sib masuk kelompok,Netral
73,halo kakak grup,Netral
74,lolos,Netral
75,cek pesan kakak,Netral
76,lolos informasi email,Netral
77,cek pesan min,Netral
78,lolos komunikasi microsoft teams kelompok watele,Netral
79,titip kakak,Negatif
80,kka lolos,Netral
81,kakak lolos,Netral
82,lolos kakak,Netral
83,lolos kakak,Netral
84,cek pesan kakak,Netral
85,lolos kakak,Netral
86,hi kakak email mohondapat periksa inboxspam email kakak terima kasih,Positif
87,kakak terima kasih,Positif
88,min online offline,Negatif
89,umum min,Netral
90,hi kakak mohon kenan tunggu terima kasih,Positif
91,hi kakak laksana ajar sepenuh jalan online terima kasih,Positif
92,lanjut seleksi tes min teman email tes,Positif
93,hi kakak uji wawas bineka email pretest arah periksa spam kakak terima kasih,Netral
94,kakak pre test daftar posisi,Netral
95,kakak lulus berkas spjtm kelulus pengaruh,Netral
96,oohhh min,Netral
97,hi dear daftar buka daftar beberapa jalur ajar hasil pilih,Positif
98,hi dear berkas sesuai syarat tentu,Positif
99,min maksud proses seleksi mahasiswa platform platform seleksi survey kebhinekaan,Netral
100,kakak email pre test nyata lolos,Netral
101,uang saku,Netral
102,min tes webnya nyandet min kurang gabisa ulang min koneksi lancar,Negatif
103,khusus mahasiswa,Netral
104,hi kakak,Netral
105,hi kakak tahap pretest validasi tahap konfirmasi lolos pretest email lgsng seleksi platform,Netral
106,platform kampus merdeka kakak,Netral
107,umum platform kampus merdeka kakak,Netral
108,terima,Positif
109,kakak,Netral
110,terjawwb kakak,Netral
111,what language is it,Netral
112,bahasa,Netral
113,permisi kakak izin daftar kampus merdeka tanggal kakak,Positif
114,hi dear tanggal januari,Positif
115,halo kakak tahap tes seleksi,Netral
116,jam ajar kakak,Netral
117,hi kakak proses seleksi liput seleksi administrasi pretest uji paham terkair jalur ajar pilih konfirmasi platform uji wwawasan kebhinekaan umum final terima kasih,Positif
118,hi kakak laksana layak kuliah senin sd jumat jam variasi pkl sd terima kasih,Positif
119,umum tes min daftar kirim min,Netral
120,iya ikut data analyst syarat khusus spesifikasi laptop jurus mata kuliah ditempug,Positif
121,terima kasih kakak,Positif
122,permisi kakak proses seleksi informasi email daftar website mbkm status proses,Positif
123,halo kakak daftar platform kampus merdeka email pretest lulus administrasi,Netral
124,proses seleksi dimulaimenunggu batas daftar tanggal,Netral
125,info lanjut,Netral
126,hi kakak seleksi parallel administrasi uji tahu dasarterima kasih,Positif
127,hi kakak mohon tunggu kakak,Positif
128,hi kakak mohon tunggu iya,Positif
129,hi kakak mohon tunggu informasi,Positif
130,hi kakak kakak syarat dukung lancar sertifikasi internasional,Positif
131,terimakasih info kakak,Positif
132,hi kakak kirim via email shg mohon periksa emaik abik inbox spam terima kasih,Positif
133,kakak terimakasih informasi,Positif
134,halo kakak izin daftar posisi email pretest isi duaduanya link pretesnya apaapa kakak,Netral
135,izin admin email pretest posisi salah satu,Netral
