,Steming,Label
284,yeay,Positif
113,permisi kakak izin daftar kampus merdeka tanggal kakak,Positif
379,kakak umum kakak tes setelaj daftar,Netral
211,terima khusus program data analyst,Positif
108,terima,Positif
360,gabung kakak,Positif
169,sertifikat,Netral
79,titip kakak,Negatif
394,takut baja,Netral
292,hi kakak,Netral
84,cek pesan kakak,Netral
8,takut narsumnya,Netral
232,kakak tunggu,Netral
99,min maksud proses seleksi mahasiswa platform platform seleksi survey kebhinekaan,Netral
363,miin koo gabisa tanggal sesuai jadwal baru tanggal sesuai jadwal kontrak mohon bantu min,Positif
344,jadwal ajar diberitahukan kelas kakak,Netral
408,minimal semester brapa min,Netral
222,umum diterimatidaknya pretest diberitahukan email kakak,Positif
28,ayo bismillah maribelajar proses pendaftarankuubiar terima disiniii,Positif
31,lolos kakak,Netral
365,halo kakak gabung,Positif
55,what language is it,Netral
327,min pretes tanggal januari kemarin info lulus hasil pretes min,Netral
32,lolos kakak,Netral
287,periode giat kontrak masuk min feb juni,Positif
48,sila kakak,Positif
346,gabung,Positif
306,halo kakak surat nyata tanggung mutlak unduh website maribelajarcoid,Netral
295,min nonton ulang onboarding mana,Netral
33,lolos kakak,Netral
221,ngerjain pretest info kirakira min,Netral
304,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih,Positif
35,microsoft platform developer,Netral
385,pathwaylearning track sertifikasi min terimakasih,Positif
63,hi dear umum terima platform kampus merdeka tanggal februari mohon cek akun kala,Positif
157,hi kakak buka kakak sila daftar taut terima kasih,Positif
128,hi kakak mohon tunggu iya,Positif
46,mantab,Positif
206,hai dear cek email kirim informasi baru,Positif
66,done kakak,Netral
268,uang saku tulis juta bulan ubah ribu bulan,Netral
351,kelompok wa unoff,Netral
256,ijazah daftar,Netral
234,halo selamat sore bapakibu kenal salsabilla putri arista member mari ajar microsoft msib angkat kampus merdeka izin kait sertifikat maribelajar angkat akses bagaiamana download sertifikat bapakibu terimakasih,Positif
397,titip,Netral
407,min batch uang saku min program studi independen terimakasih,Positif
338,daftar tanggal kakterus email pretes tanggal kakak,Netral
45,wahh keren banget kakak,Positif
177,permisi lolos kelompok cakap,Positif
219,moga lolos,Positif
386,learning track modern educator track milik laptop spesifikasi,Netral
21,bagus wa intens website webiste wa,Positif
248,banget,Netral
199,halo admin program studi idependen cloud administrator grub telewams team akun kampus merdeka giat lapor hari coba cakap wa dibales,Positif
137,email mohon cerah min,Positif
24,uang saku min,Netral
184,kakak,Netral
205,info email data analytic,Netral
134,halo kakak izin daftar posisi email pretest isi duaduanya link pretesnya apaapa kakak,Netral
116,jam ajar kakak,Netral
212,cari teman program,Positif
377,udahhh sabar,Netral
358,halo kakak maaf jbjb gabung kelompok wa kakak,Positif
277,pakai daftar isi,Netral
231,umum kah,Netral
217,kakak twibbon selebrasi mbkm cycle sib mitra,Positif
56,indonesian,Netral
330,kakak,Netral
307,oke kakak mohon maaf repot,Negatif
305,maksud,Netral
181,halo kakak kakak lolos program studi independen kakak,Netral
97,hi dear daftar buka daftar beberapa jalur ajar hasil pilih,Positif
114,hi dear tanggal januari,Positif
278,tutor suhu,Netral
118,hi kakak laksana layak kuliah senin sd jumat jam variasi pkl sd terima kasih,Positif
315,cek pesan min tolong,Positif
170,hallo kakak sertifikat serta ikut challenge,Positif
361,masuk kakak,Netral
54,min offline,Negatif
176,tes tanggal,Netral
194,tanggal juli kakak info,Netral
198,hallo min izin mahasiswa lolos gabung kelompok program jalan arah mohon balas iya,Positif
182,info lolos kakak,Netral
342,moga lolos kakak,Positif
103,khusus mahasiswa,Netral
220,pretest tes min,Netral
130,hi kakak kakak syarat dukung lancar sertifikasi internasional,Positif
303,oke kakak,Positif
60,cek pesan,Netral
94,kakak pre test daftar posisi,Netral
193,kakak tes tanggal,Netral
140,kakak,Netral
148,what language is it,Netral
202,data analist kelompok,Netral
152,hi dear matkul wajib ambil boleh catat sks konversi,Positif
341,amin rabbalalamiin,Netral
10,main menkrep,Positif
269,hallo kakak lupa ikut jelas kait uang saku besok iya,Positif
96,oohhh min,Netral
210,hallo kakak program on boarding nasional cek email informasi,Netral
