,Steming,Label
169,alhamdulillah lulus uji sertifikasi internasional microsoft power platform fundamentals pl moga lulus sertifikasi moga ilmu oleh manfaat terima kasih studi independen kampus merdeka mentor asisten mentor teman trrkait,Positif
164,studi independen kampus merdeka microsoft maribelajar pt microsoft indonesia halo kenal adi kusuma atmaja mahasiswa semester jurus ilmu hubung internasional serta program kampus merdeka studi independen microsoft indonesia syukur untung program wakil universitas satya negara indonesia benefit dapat ikut program alam dapat ajar microsoft office microsoft fundamentals power apps power bi power automate teman kampus sertifikat skala internasional moga ilmu dapat program manfaat tuju depan santa berterimakasih teman mp mentor ali assisten mentor kakak kevin adda saran tolong,Positif
175,halo dwi lakshono salah serta magang studi independen sertifikat selenggara menteri didik budaya riset teknologi program pilih program studi independen pt microsoft indonesia learning track microsoft productifity the modern workplace giat ikut desember giat ikut kesan ilmu ikut program microsoft temu teman mahasiswa daerah indonesia program ikut pt microsoft indonesia learning track microsoft productifity the modern workplace ajar produk microsoft microsoft office topik bahas microsoft word microsoft excel microsoft fundamentals outlook powerpoint power platform fundamentals materi ajar dapat asing proses ajar paham materi berkat mentor baik kelas mp mahaning beliau sabar bimbing anak kelas mp tutup ikut program studi independen alam ilmu lupa terima kasih mahaning nicken microsofteducationindonesia maribelajar kampus merdeka teman kelas mp sukses amin,Positif
178,hai magangers bingung studi independen galau pilih dampak rencana karier bangun startup bingung worry teman ayo sharing seru malam sabtu microsoft indonesia achmad zaky foundation startup campus bantu tata karier impi program studi independen andal catat tanggal iya jumat juli instagram live your future is in your hand be prepare see you,Positif
159,hallo kenal rahmad jaya harefa mahasiswa universitas sari mutiara medan mahasiswa ikut program kampus merdeka studi indenpenden sertifikat pt microsoft indonesia track microsoft productivity the modern workplace bangga pilih salah belas ribu ratus tujuh puluh mahasiswa magang studi indenpenden sertifikat nilai sendiri program perdana kampus merdeka temu rekanrekan mahasiswa latar program studi universitas bahagia banggan sendiri alam dapat alam lupa semester ikut program studi indenpenden pt microsoft indonesia track microsoft productivity ilmu dapat tahu apasaja aplikasi microsoft power platform azure simpan awan microsoft privat zero trust buat aplikasi power apps bantu orang aplikasi milik basic aplikasi power apps mngetahui coding dukung power automate kerja cepat produktif sesuai alur butuh otomatis jujur jurus non it hambat ikut program pt microsoft kelas mp ajar menjalankanya semangat mentor ass mentor erti kurang dapat terimakasih kampus merdeka microsoft program sangatsangat manfaat tahu jurus terjun langsung dunia usaha industri teknologiprogram is the best moga program lanjut,Positif
122,halo nala nama ian rachman dana politeknik negeri jakarta salah mahasiswa magang studi independen bersetifikat ptmicrosoft indonesia selenggara kampus merdeka sib microsoft pilih learning track data and artificial intelligence pilih learning track fokus ajar machine learning jalan ikut giat ilmu dapat data fundamental azure machine learning deep learning model deployment power bi ajar online kesan ilmu teman mahasiswa universitas indonesia juang mudah capai titik ikut program amal kesan trimakasih kampus merdeka ptmicrosoft indonesia mari ajar sempat ikut kegitan initrimaksih muhammad priyono tri sulistyanto mentor kelas dai trimakasih mbak vira fitriza fadli asisten mentor kelas dai update informasi kait kegitan ajar trimakasih teman daivyang dukung,Positif
75,hallo della santika jurus sistem komputer universitas sriwijaya ikut studi independen sertifikat maribelajarmicrosofttram learning track intelligence cloud track allah angkat derajat orang iman orang beril qs almujadilah maribelajar,Positif
21,bonjour fadil universitas didik indonesia senang gabung pt maribelajar indonesia cerdas harap tambah tahu ilmu manfaat lancar program yu teman patah semangat harap batch,Positif
136,assalamualaikum halo kenal nama rizky milanto politeknik manufaktur bandung salah mahasiswa magang studi independen bersetifikat ptmicrosoft indonesia selenggara kampus merdeka studi independen microsoft pilih learning track data and artificial intelligence pilih learning track tarik cerdas buat populer dunia industri industri otomotif food manufacturing industri bisnis analis peluang bisnis program mampu tambah softskill mampu bekerjasama muka dapat presentasi teman asal universitas indonesia senang program senang tambah nyata lulus sertifikasi artificial intelligence fundamental nilai muas terimaksih charles bernando mentor kelas dai sabar ajar nol paham paham implementasi terimakasih kakak yuga asisten mentor kelas responsif sabar arah terimakasih teman dai juang dukung thx all,Positif
2,hello sobat online kenal fatmawati universitas negeri makassar senang studiproyek independen sertifikat harap ilmu oleh depan manfaat aspek kuy guyskalian see you,Positif
70,hi vinka romandhona ikut program perintah studi independent kampus merdeka magang sertifikat internasional angkat pt microsoft studi teknologi digital microsoft office risau milik risau nikmat syukur ayo update informasi msib follow instagram,Positif
171,hallo kirana gusty khairunnisa ramdhan salah serta studi independen sertifikat pt microsoft indonesia selenggara kampus merdeka sib microsoft pilih learning track microsoft productivity the modern workplace pilih learning track tarik program tawar asah mampu tambah ilmu mampu digital ajar produk microsoft jalan ikut giat ajar online kesan ilmu teman mahasiswa universitas indonesia terima kasih kampus merdeka pt microsoft indonesia mari ajar sempat ikut giat terima kasih mahaning mentor kelas mp responsif sabar arah bimbing kait tugas hari asinkron tugas proyek capstone terima kasih nicken asisten mentor kelas mp update informasi kait giat ajar terima kasih teman mp dukung semangat sukses,Positif
6,kampus merdeka merdeka mandiri ajar,Netral
89,hallo annisa herawati manajemen didik universitas negeri jakarta ikut studi independen sertifikat maribelajar learning track modern educator track terus coba tambah tahu terampil,Positif
0,ugm metaverse minecraft challenge hai sobat microsoft rangka dies natalis ugm selenggara kompetisi nama ugm metaverse minecraft challenge giat ikut siswa smasederajat mahasiswa guru syarat tentu gambar slide iya daftar karya bitlyugmmetaverse ayo ajak temantemanmu ikut challenge raih hadiah total rp tunggu karya,Positif
166,halo kezia abigail vania universitas sebelas maret salah murid program studi independen microsoft learning track data and ikut studi independen microsoft ajar khusus data bilang kejar tinggal bantu mentor asisten mentor teman suportif ikut studi independen ilmu alam guna terima kasih,Positif
77,hallo erika anugra heni prodi didik matematika universitas islam jember ikut studi independen sertifikat maribelajar learning track modern educator track akar didik pahit buah manis aristoteles,Positif
65,hallo andrea akuntansi universitas gadjah mada ikut studi independen sertifikat maribelajar learning track information worker track suka coba suka ajar tarik moga tahu terampil tingkat alam relasi tambah program,Positif
55,ratap laman sembari senyum mikat tubuh bisik sendu hamdallah bibir kilas juang lembar lembar kertas bayang air segar kelapa muda ilmu pikir terima sigap tulis konfirmasi jari jemari gemetar tatap bahagia kenal muldawati mentee batch track modern educator pt program studi independen puisi cerita asa nyata terima ucap terima kasih maribelajar mentor damping kece ilmu alam relasi sertifikat modul internasional pasti kenan kesan caption kesan segi apa pesan depan pt maribelajar indonesia cerdas cipta anak bangsa hebat milik soft skillhard mampu,Positif
163,such an honour for me to be learner at microsoft indonesia for cloud fundamental by msib kampus merdeka of ministry of education budaya research and technology indonesia did sessions synchronous and asynchronous sessions the synchronous activity was held with my mentor in class cf erick kurniawan who explained some focuses on azure fundamentals microsoft certified security compliance and identity fundamentals power platform fundamentals and microsoft azure administrator for the synchronous activities worked for the learning path on the microsoft team as an electrical engineering student this studi is very new thing for me gained new knowledge from the discussions and explanations such very pleasant alam for me to be able to gabung with students who have high curiosity and learn new things that have never tried before,Positif
88,hallo rizka nur aulia prodi manajemen universitas putra bangsa ikut studi independen sertifikat maribelajar learning track information worker track pengetahuantindakan guna tahu tindak abu bakar,Netral
106,hallo fita dwiagustini arman jurus teknik sipil politeknik negeri ujung pandang ikut studi independen sertifikat maribelajar learning track information worker track guna waktu sungguhsungguh salah satu coba ajar bantu kembang,Positif
46,maribelajar microsoft studi independen halo kenal fita dwiagustini arman politeknik negeri ujung pandang salah mahasiswa ikut program msib batch ptmaribelajar indonesia cerdas learning track information worker kelas falkor alhamdulillah selesai studi independen ilmu dapat aplikasi microsoft microsoft office specialist word excel and powerpoint microsoft power platform fundamentals microsoft fundamental dynamics fundamentals erp dynamics fundamentals crm ilmu manfaat tambah relasi teman daerah indonesia ajar leadership kelompok project tugas individu ada sesi asinkron sesi sinkron syukur terima kasih program msib batch mentor bu fanny skom asisten mentor kakak vira fitriza fadli kompeten bidang tanggung kampus merdeka kampus yuliani hr st meng indra mutiara st mt koordinator program studi jasa konstruksi teman kelas falkor moga ilmu manfaat sukses mitra teman,Positif
62,maribelajar microsoft kesan ikut studi independen kampus merdeka tambah teman indonesia berterimakasih mentor amiroh skom mkom ilmuilmu tahu giat studi independen asisten mentor kakak nicken kusuma mardhany damping perlu keluh studi independen lupa berterimakasih pt maribelajar indonesia cerdas selenggara sempat ikut studi independen moga depan baik laksana studi independen batch,Positif
74,alhamdulillah terimakasih god ive passed my third microsoft international certification microsoft azure data fundamentals dp with score of the topic of microsoft azure data fundamentals is about exploring core data concepts exploring roles and responsibilities in the world of data describing concepts of relational data exploring concepts of nonrelational data exploring concepts of data analytics exploring relational data in azure exploring nonrelational data in azure examine components of modern data warehouse explore data ingestion in azure explore data storage and processing in azure get started building with power bi,Positif
92,hallo arif muluk rahman manajemen universitas medan area ikut studi independen sertifikat maribelajar learning track information worker track compare yourself with anyone in this world if you you are insulting yourself bill gates dapat twibbon twbnztwibbonmaribelajar ikut maribelajar,Positif
143,social media task the journey of thousand miles begins with one step lao tzu tualang takjub langkah nyata tualang langkah bawa titik titik mana makna orang ajar it jurus biologi ganti jurus saing teman dsb turut pandang salah kawan kerja butuh disiplin ilmu praktek standard kerja ubah sadar dar kaget ubah era disrupsi penuh ketidakpastian tren kerja dulunya idam orang tinggal contoh nyata bisnis wartel wartel ajar mana adaptasi ubah zaman tentu ambil program msib microsoft indonesia learning path data issue pecah paham arti data data the new oil ada vital ambil putus usaha cerdas buat teknologi prediksi ganti kerja manusia industri robot mengautomasi kerja teknologi seks computer vision nlp kurang kerja program ilmu wawas mentor resource ajar lengkap program relasi penjuru dunia mana ikut training days expert microsoft sempat ikut sertifikasi global tambah value cv,Positif
120,hidup penuh ajar penuh cinta nama halo alifia nur fauzan mahasiswi tingkat read tua institut tani bogor ikut giat sib studi istri sertifikat canda studi independen sertifikat maksud studi independen sertifikat microsoft productivity the modern workplace jalan hidup ajar if you think im only learning bout microsoft youre wrong percaya ajar ambil kecuali hati gabisa ambil poin plus bahagia sertifikasi microsoft pungut biaya apa bahagia sib microsoft bahagia you make the world better place by making yourself better person sorrell,Positif
123,one step closer to becoming the first alumnus of microsoft independent studi hallo im salsa from finally ive finished my independent studi at with learning track data and artificial intelligence as the first alumnus of msib program by its truly incredible honor for me to be part of this great program with unforgettable memories during the last months august december ive gained log of knowledge new experiences and insight by this program can able to take part in this amazing alam ill try to improve as as can learning and practicing lot to get glow up of myself this year and my future small step in this direction ends up being the biggest step of my life get this opportunity its like never imagined before from here got lot of knowledges new insights and unique friends from various university in indonesia thank you to several parties for organizing this great program thank you to mr sulistyo heripracoyo sip as mentor for guiding the learning activities thank you to ms agata tamara simanjorang as mentors assistant for help and giving clear answers to all my questions and also absolutely thank you for the great time and memories dai class highly recommended to you teman who want to apply this program because youll get small magic of your life,Positif
