,Steming,Label
0,terimakasih,Positif
1,nyimpan gamenya gimana,Positif
2,save world,Positif
3,bagus,Positif
4,subscribe boss terimakasih,Positif
5,musik nama,Netral
6,izin share terima kasih,Positif
7,tambah ilmuterimakasihbarakallah,Positif
8,keren ilmu terimakasih sudan tambah imu,Positif
9,mantap ilmu bermanpaat terimakasih,Positif
10,terimakasih,Positif
11,mendeley pilih type of sourcenya mohon bantu terimakasih,Positif
12,bingung sendiribrpivot powerbrpivot tabelbrgrafik,Negatif
13,aplikasi database,Netral
14,kakak saran ms word gabisa masukin akun gabisa saran gaptek iya,Positif
15,kakak template ambil google,Netral
16,guna banget orang laptop dukung download ps corel,Positif
17,senang,Positif
18,kakak pakai data searching word searching,Netral
19,rasa video tonton bambankk harga karya,Netral
20,gambar poster makan khas coba contohin pliss,Positif
21,makan khas,Netral
22,gambar dokumen klik kanan pilih change picture masuk gambar makan,Netral
23,cetak print bro,Netral
24,langsung cetak pdf,Netral
25,tutorial manfaat,Positif
26,trima ksih sahabat,Positif
27,kakak playstore instal,Netral
28,playstore dukung kakak,Positif
29,publihsher,Netral
30,willows has great alam with good idea and think that is great thing,Positif
31,publisher,Netral
32,microsoft publisher,Netral
33,publisher kakak,Netral
34,bantu guru fisika sman melaya jembranabali ajar onenote trimssemoga sehat bu rima mohon bagi,Positif
35,beli lisensi offline mana,Negatif
36,izin reupload min,Netral
37,monggo kakak haris,Positif
38,kakak aplikasi kolase diandroid,Netral
39,halo verifikasi pindah bapakibusiswa klaim kredit azure pengajarsiswa,Positif
40,selamat pagi butapi aplikasi khan bayar bulan jalan online brpertanyaan aplikasi jalan offline gratis permanen brterima kasih info bu,Positif
41,ajar darurat covid jempol,Negatif
42,user ubah free user,Positif
43,hi sahabar ajar ikut pandu href,Positif
44,terimakasih bemanfaat tutorial aetting dns gagal situ,Negatif
45,hi pika movie ikut pandu href,Netral
46,cepat pimpin suara tutorial baca text cepat,Netral
47,heloo kakak approvel ms form hasil masalahsaya sistem approvel ms flow terima email kirim mengguankan email email ms form ganti email kirim sesuai email submiter submit ms form terimakasih,Negatif
48,keren share file praktik,Positif
49,latih kasih sample excel data bangun visualisanya,Positif
50,kakak maribelajar nama instagramnya,Netral
51,hallo kakak bingung price power biitu user yahbrbrkalo kasus pasang usaha mana siapin data orang database dashboard user public beli user user lihat dashboard beli jugabrbrmakasih,Positif
52,kakak kolom excel data sales vs target persentase grafik power bi,Positif
53,terima kasih cerah sukses kakak,Positif
54,simpel terimakasih,Positif
55,mohon info ajar online via zoom gmeet,Positif
56,elah tunggu ajar tampil zzzzz,Netral
57,databasenya google spreadsheet,Netral
58,kakak wilayah kabupatenkota,Netral
59,good explanation terimakasih,Positif
60,kakak datasetnya praktek,Netral
61,terimakasih tutorial gan bantu magang suskes tutorial manfaat,Positif
62,cek channel kakak,Netral
63,matul boss terimakasih,Positif
64,lanjut pimpin tutorial power bi terimakasih,Positif
65,power bi running on macbook,Netral
66,versi web versi desktop windows macbook install windows,Netral
67,kakak mengimport file latitude longitude excel titik hilang pbi,Positif
68,mantab terima kasih kakak sukses,Positif
69,enak banget ngejelasinnya,Positif
70,windows edukasi nyaman pakai aktivitas kantor beda windows win edukasi,Positif
71,install printernya rumit,Netral
72,game online dukung kakak windows education,Positif
73,ajar bro,Netral
74,nama education windowsnya khusus sekolah,Netral
75,manfaat banget terimakasih kakaaa,Positif
76,video manual book lengkap massaya serius minat dalam power bi,Positif
77,mohon maaf kakak sedia kakak ajar taut href,Positif
78,siswa curang tahu,Negatif
79,paksudah buka kunci softwarenya beli,Netral
80,hi edukasi sejarah kuis new quiz new form,Netral
81,ms install,Netral
82,akses langsung online href,Netral
83,koq microsoft formnya muncul beli softwarenya,Netral
84,terimakasih kakak jelas guru,Positif
85,tele tele kakak,Netral
86,suara kresek kresek ganggu,Negatif
87,hapus tugas tulis diclass notebook teams,Netral
88,kakak nanyaini murid login masuk beranda suruh guru cari clas notebook yamohon kakak,Positif
89,kakak nanyaini murid login masuk beranda suruh guru cari clas notebook yamohon kakak,Positif
90,salam sukses moga manfaat,Positif
91,terima kasih bantu manfaat,Positif
92,sayangblm selesai buru berhentijd penasaranujungnya tampil,Netral
93,keren bangettrims ilmu,Positif
94,sip,Positif
95,terima kasih bu,Positif
96,mantap terimakasih materi,Positif
97,mantab bu,Positif
98,terima kasih bu,Positif
99,terimakasih ilmunyasmga sukses sehat,Positif
100,akhir putus,Netral
101,ilmu appreciate it good,Positif
102,bantu ajar senang,Positif
103,manfaat,Positif
104,tutorial cari initerimakasih bunda manfaat,Positif
105,terimakasih tutorial,Positif
106,ajar bu terima kasih mampir channel rolla,Positif
107,manfaat,Positif
108,terimakasih ilmu,Positif
109,calendar icon tanda panah bawah pilih live event,Netral
110,terimakasih kakak,Positif
111,mantap,Positif
112,mantap ilmu terima kasih,Positif
113,download aplikasi sway kakak,Netral
114,hi kakak nissa sway sedia apknya aplikasi bas web terima kasih,Positif
115,jazakallah khair ilmu,Netral
116,nama aplikasi,Netral
117,sway kakak,Netral
118,terimakasih,Positif
119,kakak cp sekolah niat majalah digital,Netral
120,download,Netral
121,yaampun ngeyoutube sepi,Netral
122,yaampun ngeyoutube sepi,Netral
123,hadir sukanda spd negeri jatiwangi kabupaten majalengka jawa barat,Netral
124,hallo,Netral
125,dalam,Netral
126,bangga minecraft,Positif
127,mod kakak,Netral
128,minecraft hmmm creative inovatif,Positif
