,textDisplay,CaseFolding,TextClean,Tokenizing,Normalization,Stopwords
0,Trims,trims,trims,['trims'],['terimakasih'],['terimakasih']
1,cara nyimpan gamenya gimanaaa??????,cara nyimpan gamenya gimanaaa??????,cara nyimpan gamenya gimanaaa,"['cara', 'nyimpan', 'gamenya', 'gimanaaa']","['cara', 'nyimpan', 'gamenya', 'gimana']","['nyimpan', 'gamenya', 'gimana']"
2,Save world,save world,save world,"['save', 'world']","['save', 'world']","['save', 'world']"
3,bagus,bagus,bagus,['bagus'],['bagus'],['bagus']
4,"Subscribe balik ya boss, thanks","subscribe balik ya boss, thanks",subscribe balik ya boss thanks,"['subscribe', 'balik', 'ya', 'boss', 'thanks']","['subscribe', 'balik', 'ya', 'boss', 'terimakasih']","['subscribe', 'boss', 'terimakasih']"
5,Itu musinya apa namanya,itu musinya apa namanya,itu musinya apa namanya,"['itu', 'musinya', 'apa', 'namanya']","['itu', 'musiknya', 'apa', 'namanya']","['musiknya', 'namanya']"
6,Ijin share ya.. terima kasih..,ijin share ya.. terima kasih..,ijin share ya terima kasih,"['ijin', 'share', 'ya', 'terima', 'kasih']","['izin', 'share', 'ya', 'terima', 'kasih']","['izin', 'share', 'terima', 'kasih']"
7,Nambah ilmu.terimakasih.barakallah,nambah ilmu.terimakasih.barakallah,nambah ilmuterimakasihbarakallah,"['nambah', 'ilmuterimakasihbarakallah']","['bertambah', 'ilmuterimakasihbarakallah']","['bertambah', 'ilmuterimakasihbarakallah']"
8,Keren ilmunya makasih Sudan menambah imu...,keren ilmunya makasih sudan menambah imu...,keren ilmunya makasih sudan menambah imu,"['keren', 'ilmunya', 'makasih', 'sudan', 'menambah', 'imu']","['keren', 'ilmunya', 'terimakasih', 'sudan', 'menambah', 'imu']","['keren', 'ilmunya', 'terimakasih', 'sudan', 'menambah', 'imu']"
9,MANTAP ILMUNYA SANGAT BERMANPAAT BAGI SY .THANKS,mantap ilmunya sangat bermanpaat bagi sy .thanks,mantap ilmunya sangat bermanpaat bagi sy thanks,"['mantap', 'ilmunya', 'sangat', 'bermanpaat', 'bagi', 'sy', 'thanks']","['mantap', 'ilmunya', 'sangat', 'bermanpaat', 'bagi', 'saya', 'terimakasih']","['mantap', 'ilmunya', 'bermanpaat', 'terimakasih']"
10,thanks,thanks,thanks,['thanks'],['terimakasih'],['terimakasih']
11,Kalo yang tanpa mendeley gimana yah caranya???? Pilihan di type of sourcenya yang mana yah? Mohon di bantu... terimakasih...,kalo yang tanpa mendeley gimana yah caranya???? pilihan di type of sourcenya yang mana yah? mohon di bantu... terimakasih...,kalo yang tanpa mendeley gimana yah caranya pilihan di type of sourcenya yang mana yah mohon di bantu terimakasih,"['kalo', 'yang', 'tanpa', 'mendeley', 'gimana', 'yah', 'caranya', 'pilihan', 'di', 'type', 'of', 'sourcenya', 'yang', 'mana', 'yah', 'mohon', 'di', 'bantu', 'terimakasih']","['kalo', 'yang', 'tanpa', 'mendeley', 'bagaimana', 'ya', 'caranya', 'pilihan', 'di', 'type', 'of', 'sourcenya', 'yang', 'mana', 'ya', 'mohon', 'di', 'bantu', 'terimakasih']","['mendeley', 'pilihan', 'type', 'of', 'sourcenya', 'mohon', 'bantu', 'terimakasih']"
12,binggung sendiri<br>PIVOT POWER<br>PIVOT TABEL<br>GRAFIK,binggung sendiri<br>pivot power<br>pivot tabel<br>grafik,binggung sendiribrpivot powerbrpivot tabelbrgrafik,"['binggung', 'sendiribrpivot', 'powerbrpivot', 'tabelbrgrafik']","['bingung', 'sendiribrpivot', 'powerbrpivot', 'tabelbrgrafik']","['bingung', 'sendiribrpivot', 'powerbrpivot', 'tabelbrgrafik']"
13,Apa bisa buat aplikasi database?,apa bisa buat aplikasi database?,apa bisa buat aplikasi database,"['apa', 'bisa', 'buat', 'aplikasi', 'database']","['apa', 'bisa', 'buat', 'aplikasi', 'database']","['aplikasi', 'database']"
14,"Bang minta saran dong kok ms word aku gabisa pdhl udh masukin akun tp tetep gabisa, minta saran dong apa aku yang gaptek yaa","bang minta saran dong kok ms word aku gabisa pdhl udh masukin akun tp tetep gabisa, minta saran dong apa aku yang gaptek yaa",bang minta saran dong kok ms word aku gabisa pdhl udh masukin akun tp tetep gabisa minta saran dong apa aku yang gaptek yaa,"['bang', 'minta', 'saran', 'dong', 'kok', 'ms', 'word', 'aku', 'gabisa', 'pdhl', 'udh', 'masukin', 'akun', 'tp', 'tetep', 'gabisa', 'minta', 'saran', 'dong', 'apa', 'aku', 'yang', 'gaptek', 'yaa']","['kakak', 'minta', 'saran', 'dong', 'kok', 'ms', 'word', 'aku', 'gabisa', 'padahal', 'sudah', 'masukin', 'akun', 'tapi', 'tetap', 'gabisa', 'minta', 'saran', 'dong', 'apa', 'aku', 'yang', 'gaptek', 'iya']","['kakak', 'saran', 'ms', 'word', 'gabisa', 'masukin', 'akun', 'gabisa', 'saran', 'gaptek', 'iya']"
15,Bang kalo template nya di ambil dari Google bisa ga,bang kalo template nya di ambil dari google bisa ga,bang kalo template nya di ambil dari google bisa ga,"['bang', 'kalo', 'template', 'nya', 'di', 'ambil', 'dari', 'google', 'bisa', 'ga']","['kakak', 'kalo', 'template', 'nya', 'di', 'ambil', 'dari', 'google', 'bisa', 'tidak']","['kakak', 'template', 'ambil', 'google']"
16,Berguna bgt buat org yg laptopnya gk support buat download Ps sama corel,berguna bgt buat org yg laptopnya gk support buat download ps sama corel,berguna bgt buat org yg laptopnya gk support buat download ps sama corel,"['berguna', 'bgt', 'buat', 'org', 'yg', 'laptopnya', 'gk', 'support', 'buat', 'download', 'ps', 'sama', 'corel']","['berguna', 'banget', 'buat', 'orang', 'yang', 'laptopnya', 'tidak', 'dukungan', 'buat', 'download', 'ps', 'sama', 'corel']","['berguna', 'banget', 'orang', 'laptopnya', 'dukungan', 'download', 'ps', 'corel']"
17,A0,a0,,[],[],[]
18,senangnya,senangnya,senangnya,['senangnya'],['senangnya'],['senangnya']
19,Kak pake data gak buat searching? Karna word aku gak bisa searching,kak pake data gak buat searching? karna word aku gak bisa searching,kak pake data gak buat searching karna word aku gak bisa searching,"['kak', 'pake', 'data', 'gak', 'buat', 'searching', 'karna', 'word', 'aku', 'gak', 'bisa', 'searching']","['kakak', 'pakai', 'data', 'tidak', 'buat', 'searching', 'karena', 'word', 'aku', 'tidak', 'bisa', 'searching']","['kakak', 'pakai', 'data', 'searching', 'word', 'searching']"
20,Gak guna,gak guna,gak guna,"['gak', 'guna']","['tidak', 'guna']",[]
21,"Kalo ngerasa nih video gak guna, trus ngapain lu tonton bambankk, hargailah karya seseorang😒","kalo ngerasa nih video gak guna, trus ngapain lu tonton bambankk, hargailah karya seseorang😒",kalo ngerasa nih video gak guna trus ngapain lu tonton bambankk hargailah karya seseorang,"['kalo', 'ngerasa', 'nih', 'video', 'gak', 'guna', 'trus', 'ngapain', 'lu', 'tonton', 'bambankk', 'hargailah', 'karya', 'seseorang']","['kalo', 'merasakan', 'nih', 'video', 'tidak', 'guna', 'terus', 'kenapa', 'kamu', 'tonton', 'bambankk', 'hargailah', 'karya', 'seseorang']","['merasakan', 'video', 'tonton', 'bambankk', 'hargailah', 'karya']"
22,Gimana kalau gambar posternya makanan khas gimana coba contohin dong pliss👍👍👍,gimana kalau gambar posternya makanan khas gimana coba contohin dong pliss👍👍👍,gimana kalau gambar posternya makanan khas gimana coba contohin dong pliss,"['gimana', 'kalau', 'gambar', 'posternya', 'makanan', 'khas', 'gimana', 'coba', 'contohin', 'dong', 'pliss']","['bagaimana', 'kalau', 'gambar', 'posternya', 'makanan', 'khas', 'bagaimana', 'coba', 'contohin', 'dong', 'pliss']","['gambar', 'posternya', 'makanan', 'khas', 'coba', 'contohin', 'pliss']"
23,Bisa gk makanan khas,bisa gk makanan khas,bisa gk makanan khas,"['bisa', 'gk', 'makanan', 'khas']","['bisa', 'tidak', 'makanan', 'khas']","['makanan', 'khas']"
24,"bisa, nanti digambar yang udah ada di dokumen, klik kanan terus pilih change picture. masukkan gambar makanan yg diinginkan","bisa, nanti digambar yang udah ada di dokumen, klik kanan terus pilih change picture. masukkan gambar makanan yg diinginkan",bisa nanti digambar yang udah ada di dokumen klik kanan terus pilih change picture masukkan gambar makanan yg diinginkan,"['bisa', 'nanti', 'digambar', 'yang', 'udah', 'ada', 'di', 'dokumen', 'klik', 'kanan', 'terus', 'pilih', 'change', 'picture', 'masukkan', 'gambar', 'makanan', 'yg', 'diinginkan']","['bisa', 'nanti', 'digambar', 'yang', 'sudah', 'ada', 'di', 'dokumen', 'klik', 'kanan', 'terus', 'pilih', 'change', 'picture', 'masukkan', 'gambar', 'makanan', 'yang', 'diinginkan']","['digambar', 'dokumen', 'klik', 'kanan', 'pilih', 'change', 'picture', 'masukkan', 'gambar', 'makanan']"
25,Terus cara cetaknya di print atau apa bro?,terus cara cetaknya di print atau apa bro?,terus cara cetaknya di print atau apa bro,"['terus', 'cara', 'cetaknya', 'di', 'print', 'atau', 'apa', 'bro']","['terus', 'cara', 'cetaknya', 'di', 'print', 'atau', 'apa', 'bro']","['cetaknya', 'print', 'bro']"
26,langsung dicetak dari pdf nya,langsung dicetak dari pdf nya,langsung dicetak dari pdf nya,"['langsung', 'dicetak', 'dari', 'pdf', 'nya']","['langsung', 'dicetak', 'dari', 'pdf', 'nya']","['langsung', 'dicetak', 'pdf']"
27,Tutorial yg bermanfaat,tutorial yg bermanfaat,tutorial yg bermanfaat,"['tutorial', 'yg', 'bermanfaat']","['tutorial', 'yang', 'bermanfaat']","['tutorial', 'bermanfaat']"
28,TRIMA KSIH SAHABAT,trima ksih sahabat,trima ksih sahabat,"['trima', 'ksih', 'sahabat']","['trima', 'ksih', 'sahabat']","['trima', 'ksih', 'sahabat']"
29,Kak di playstore instal nya yang mana,kak di playstore instal nya yang mana,kak di playstore instal nya yang mana,"['kak', 'di', 'playstore', 'instal', 'nya', 'yang', 'mana']","['kakak', 'di', 'playstore', 'instal', 'nya', 'yang', 'mana']","['kakak', 'playstore', 'instal']"
