,Steming,Label
45,hi pika movie ikut pandu href,Netral
56,elah tunggu ajar tampil zzzzz,Netral
39,halo verifikasi pindah bapakibusiswa klaim kredit azure pengajarsiswa,Positif
36,izin reupload min,Netral
114,hi kakak nissa sway sedia apknya aplikasi bas web terima kasih,Positif
136,hi kakak jih hubung langsung dssdi ugm pendek akun office tenant milik kapasitas default tibatiba terima kasih,Positif
104,tutorial cari initerimakasih bunda manfaat,Positif
123,hadir sukanda spd negeri jatiwangi kabupaten majalengka jawa barat,Netral
83,koq microsoft formnya muncul beli softwarenya,Netral
122,yaampun ngeyoutube sepi,Netral
119,kakak cp sekolah niat majalah digital,Netral
92,sayangblm selesai buru berhentijd penasaranujungnya tampil,Netral
11,mendeley pilih type of sourcenya mohon bantu terimakasih,Positif
145,terimakasih,Positif
85,tele tele kakak,Netral
12,bingung sendiribrpivot powerbrpivot tabelbrgrafik,Negatif
2,save world,Positif
95,terima kasih bu,Positif
110,terimakasih kakak,Positif
135,multcloud pakai akun ugm gb,Netral
6,izin share terima kasih,Positif
124,hallo,Netral
107,manfaat,Positif
65,power bi running on macbook,Netral
55,mohon info ajar online via zoom gmeet,Positif
77,mohon maaf kakak sedia kakak ajar taut href,Positif
100,akhir putus,Netral
46,cepat pimpin suara tutorial baca text cepat,Netral
62,cek channel kakak,Netral
113,download aplikasi sway kakak,Netral
90,salam sukses moga manfaat,Positif
97,mantab bu,Positif
131,izin pakai video ajar kelas,Netral
10,terimakasih,Positif
34,bantu guru fisika sman melaya jembranabali ajar onenote trimssemoga sehat bu rima mohon bagi,Positif
32,microsoft publisher,Netral
121,yaampun ngeyoutube sepi,Netral
38,kakak aplikasi kolase diandroid,Netral
108,terimakasih ilmu,Positif
146,password dimasukin gan,Netral
27,kakak playstore instal,Netral
23,cetak print bro,Netral
67,kakak mengimport file latitude longitude excel titik hilang pbi,Positif
9,mantap ilmu bermanpaat terimakasih,Positif
127,mod kakak,Netral
94,sip,Positif
102,bantu ajar senang,Positif
130,kode hp kakak,Netral
87,hapus tugas tulis diclass notebook teams,Netral
143,simak kemarin tinggal,Netral
116,nama aplikasi,Netral
64,lanjut pimpin tutorial power bi terimakasih,Positif
15,kakak template ambil google,Netral
82,akses langsung online href,Netral
41,ajar darurat covid jempol,Negatif
80,hi edukasi sejarah kuis new quiz new form,Netral
52,kakak kolom excel data sales vs target persentase grafik power bi,Positif
26,trima ksih sahabat,Positif
76,video manual book lengkap massaya serius minat dalam power bi,Positif
43,hi sahabar ajar ikut pandu href,Positif
24,langsung cetak pdf,Netral
142,matur terimakasih,Positif
112,mantap ilmu terima kasih,Positif
126,bangga minecraft,Positif
49,latih kasih sample excel data bangun visualisanya,Positif
21,makan khas,Netral
70,windows edukasi nyaman pakai aktivitas kantor beda windows win edukasi,Positif
3,bagus,Positif
139,kakak meeting mt kadang mute tendang meeting kendala,Negatif
30,willows has great alam with good idea and think that is great thing,Positif
144,simak,Netral
106,ajar bu terima kasih mampir channel rolla,Positif
47,heloo kakak approvel ms form hasil masalahsaya sistem approvel ms flow terima email kirim mengguankan email email ms form ganti email kirim sesuai email submiter submit ms form terimakasih,Negatif
115,jazakallah khair ilmu,Netral
13,aplikasi database,Netral
88,kakak nanyaini murid login masuk beranda suruh guru cari clas notebook yamohon kakak,Positif
8,keren ilmu terimakasih sudan tambah imu,Positif
81,ms install,Netral
60,kakak datasetnya praktek,Netral
0,terimakasih,Positif
1,nyimpan gamenya gimana,Positif
57,databasenya google spreadsheet,Netral
22,gambar dokumen klik kanan pilih change picture masuk gambar makan,Netral
61,terimakasih tutorial gan bantu magang suskes tutorial manfaat,Positif
63,matul boss terimakasih,Positif
7,tambah ilmuterimakasihbarakallah,Positif
86,suara kresek kresek ganggu,Negatif
96,mantap terimakasih materi,Positif
68,mantab terima kasih kakak sukses,Positif
50,kakak maribelajar nama instagramnya,Netral
101,ilmu appreciate it good,Positif
20,gambar poster makan khas coba contohin pliss,Positif
25,tutorial manfaat,Positif
134,weh bantu,Positif
71,install printernya rumit,Netral
129,pilih level kakak tahap close lanjut aktivasi jendela pilih level,Netral
79,paksudah buka kunci softwarenya beli,Netral
133,manfaat banget,Positif
137,mantap meng edukasi,Positif
72,game online dukung kakak windows education,Positif
140,nama lengkap bicara,Netral
37,monggo kakak haris,Positif
